period,leverage_pressure,liquidity_pressure,related_party_pressure,document_gap_pressure,routing_compression,mobility_capacity,continuity_capacity
2006Q1,0.30,0.20,0.10,0.10,0.15,0.85,0.90
2006Q2,0.32,0.22,0.10,0.12,0.18,0.83,0.88
2006Q3,0.35,0.25,0.12,0.14,0.22,0.80,0.86
2006Q4,0.38,0.28,0.15,0.16,0.26,0.76,0.82
2007Q1,0.44,0.35,0.18,0.22,0.34,0.70,0.76
2007Q2,0.50,0.42,0.20,0.28,0.45,0.62,0.68
2007Q3,0.58,0.52,0.24,0.36,0.58,0.50,0.56
2007Q4,0.66,0.61,0.30,0.45,0.70,0.40,0.46
2008Q1,0.74,0.70,0.35,0.55,0.82,0.30,0.36
2008Q2,0.82,0.78,0.42,0.66,0.90,0.22,0.28
2008Q3,0.92,0.88,0.52,0.78,0.97,0.10,0.15
